param,sample_avg,sample_std,follow_avg,follow_std
1,0.000863569280797144,0.0005724486483967038,0.0005164870732947241,0.0002771989152381886
2,0.0007444191322052221,0.00019533158332204025,0.0004800847202440433,0.00017347845454274445
3,0.0008466165222807559,0.00019361264052643838,0.0005309391021728516,0.00020510358226291024
4,0.0009316643480499987,0.0005325727509303533,0.0005989044754948448,0.00024176171442130616
5,0.0010339047358586238,0.0007735475206734527,0.0005919867899359726,0.00020220188357968958
6,0.001105708394731794,0.00022507248517284124,0.000664743538603695,0.00023488115148626458
7,0.001237155299199629,0.0005553492510978286,0.0006684655787951625,0.00022043732407903038
8,0.0013650004149083827,0.0006333751790100162,0.0007756042014124341,0.0002623408773343305
9,0.0014997521568747127,0.0007043813532779793,0.0007978373385490255,0.00022508476959098018
10,0.001708812795133672,0.0006209918450345749,0.0009531996716027972,0.0003705857522871647
11,0.0018777764072384925,0.0009524366488450555,0.0009870907616993739,0.00033025813980987596
12,0.0017763486565101228,0.0007865735152988009,0.0009808351029237507,0.0002955400580205863
13,0.0018718381380212717,0.00070797436732436,0.001075929247568452,0.0003513702371470316
14,0.002081505109965209,0.0010029267731264733,0.0011127488953726632,0.00032948035815990814
15,0.002114533388763048,0.0007679205319448511,0.001235173762529746,0.00038613642147148795
16,0.002288678833101809,0.0010041604567908272,0.0012835565819797746,0.0003777603877906245
17,0.002381580392109979,0.0011343835215088462,0.0014466785945775318,0.0004691696912066766
18,0.002507934150914617,0.0007984284580579871,0.0014647731821330354,0.000430458367018031
19,0.0025999818529401507,0.0008339177312456168,0.0015619007343984355,0.0004439956884722085
20,0.0027659252612260137,0.0008881274386082377,0.0016033663836043605,0.0004892591251498186
21,0.002894084704549689,0.0009258838187529797,0.0017639093736105302,0.0005701717816371957
22,0.0030300916324962268,0.0011957589902219378,0.002457700549743728,0.000879094627534293
23,0.0032354557868277674,0.0011263813876999534,0.0019354106873039185,0.000551515384981467
24,0.0033176506979990814,0.0010202767301908803,0.0019846224474063356,0.0006479159923548564
25,0.0035105493993521585,0.0013571755850885357,0.002097071625116303,0.0006238725392832165
26,0.003608410266882589,0.0011065476027370712,0.0022918012020361686,0.0007148287093957354
27,0.003741538687928082,0.0012886412765466336,0.0023016729128208196,0.0007314680483956295
28,0.0039406019468905505,0.0011253184303969546,0.002480151701946648,0.0007158087369579553
29,0.004070384215114635,0.0011903245062662715,0.0026650256717327945,0.0007739231671301929
30,0.004344921257659679,0.0013281122034814847,0.002695352881104796,0.0007593651776655945
31,0.004437563251647016,0.0013338597346717407,0.0028507105509440103,0.0009452821448580147
32,0.005069908724504086,0.00150769247188366,0.002992118060781732,0.0008247825618214271
33,0.004780595063438532,0.0014506360352689813,0.0030131628310758303,0.0009848003045245105
34,0.004907853546596709,0.0012814127266751723,0.003751102387905121,0.0012263073144704343
35,0.005198942706189348,0.0016387556626766971,0.0033933094569614957,0.0009635091126110451
36,0.005255795959243201,0.0014283007418108569,0.0035082243191890228,0.0010184693189655182
37,0.0054652175010993466,0.0014002842640200215,0.003543372536981385,0.0010078332110300928
38,0.00576156039129604,0.0015743245471016335,0.0037631507210888213,0.0010154869520907946
39,0.005870478688732578,0.001692989601498404,0.0038657587645385934,0.0012012892625960342
40,0.005983920063046243,0.0015750720979463844,0.004044930263774392,0.0011967756062477848
41,0.006170246541870306,0.0016587613768673114,0.0039953947067260746,0.0011624862254356507
42,0.006448690837385964,0.0016182157892859826,0.004268825611221456,0.0011869486525416416
43,0.006578494833527709,0.001615812239903506,0.004496829362296771,0.001226909438748843
44,0.006832827525924009,0.0017234069055998467,0.004588231628323778,0.0012251540851345307
45,0.007073691529287419,0.0017180011323632617,0.004531343899122099,0.0014945072912867362
46,0.007307149806198767,0.0022217843007820573,0.005164944258018967,0.0017847961931890073
47,0.007600854674671746,0.0019228089109722712,0.005060270428657532,0.001373266468460087
48,0.0081942890422461,0.0020821093151261053,0.005428803986092598,0.0016604375434586193
49,0.008227566782937666,0.002000592941366968,0.005331526846575314,0.0016305457995173841
