param,sample_avg,sample_std,follow_avg,follow_std
1,0.05820252418518066,0.01794991655914196,0.001751785546960965,0.002922004996579956
2,0.05851936101913452,0.0187528284518975,0.0015053120288220081,0.0025997670827384157
3,0.06543101787567139,0.01889236568871739,0.0020460571561540875,0.0027703742159966237
4,0.06573081970214843,0.020690054236477226,0.002553981893202838,0.004312602406914037
5,0.07307234764099121,0.021419847564596466,0.0018942923772902716,0.0030324385806302138
6,0.07572027206420899,0.020269468174641602,0.0021832283962978406,0.003455068535180649
7,0.07329478502273559,0.022625500307309726,0.002197421391805013,0.0029751685185173994
8,0.07416176557540893,0.02142049498000623,0.001917007492809761,0.0037350200816184125
9,0.07331574201583863,0.019217278155113152,0.001971862532875755,0.004214438502758962
