param,sample_avg,sample_std,follow_avg,follow_std
10,0.000603148698807,0.00283561068724,0.000212868690491,0.00150132804386
20,0.00061913061142,0.00271365827779,0.000226029634476,0.00156124838273
30,0.000821088790894,0.0036797154039,0.000323210716248,0.00204207481559
40,0.000980027198792,0.00429031981749,0.000271678447723,0.0017979518382
50,0.000818110227585,0.00422343352232,0.000272183418274,0.00195084905562
60,0.000800563335419,0.00359806368422,0.000321378231049,0.00227914008191
70,0.00129010653496,0.00617462143553,0.000277037143707,0.0015104973822
80,0.00114066886902,0.00558788032763,0.000233529090881,0.00160126037332
90,0.0010220105648,0.00446737056294,0.000250656366348,0.00188999764222
100,0.00104930949211,0.00448472143756,0.000282061815262,0.00196681505527
