param,sample_avg,sample_std,follow_avg,follow_std
1,0.0005948760292746804,0.00282305220676071,0.00017437275419843957,7.190637626171833e-05
2,0.000519406887912011,0.0001278813652838963,0.00029778160504846765,0.0001527039155247311
3,0.0007643833452341508,0.00012827681083196977,0.00040717433682448573,0.00021955386615601683
4,0.0011094342578541149,0.0013315999893635257,0.0005741914113362631,0.00028688003271501894
5,0.0014244511320784285,0.0015227854214198203,0.0008210777457243476,0.0018148222013936966
6,0.0017429252723594765,0.0013261235766735635,0.0008754360843712175,0.0004924051759374774
7,0.0019662239485316807,0.001801957925166873,0.0010127442085791213,0.0005390065055351221
8,0.0022774206853545874,0.001433191400214448,0.0011923389601637949,0.0007897408490095305
9,0.002604731889528649,0.0018855880774011893,0.0013449934206120236,0.0007405741465795118
10,0.0029605350543543234,0.0020952305966030287,0.0014295064950291115,0.0008597044769258415
11,0.0032303084550619732,0.001662324955455159,0.0016594209169086657,0.000959450939944357
12,0.003768592249622661,0.002994373422337247,0.0019401611771973424,0.0010333580900640435
13,0.004043990815127337,0.0023873925258618505,0.0020627122083713206,0.001181298522175113
14,0.00440995867659406,0.0024332459642595655,0.002173618952433268,0.0014197962103231236
15,0.005089424305193552,0.0035264963191105896,0.0023859279133990907,0.0014692341386429743
16,0.0053977363663845835,0.003551384633912241,0.002494988650301077,0.0016183945121934229
17,0.005612804218140802,0.0025797830458036603,0.0027706270155153775,0.0017559158393454669
18,0.006312629755805521,0.0033625228698049453,0.0029998254485246612,0.001926665340611152
19,0.006566019093945678,0.0034596376788462472,0.003244632085164388,0.002098177423388011
20,0.006966031386877186,0.002775293255402165,0.0035746679381919474,0.00223217186068457
21,0.0076466311192252955,0.0033323752103198096,0.0038062334060668945,0.0023958941099697668
22,0.008069886194242464,0.004060625869671213,0.004044011113429264,0.0025506982871961693
23,0.008491583739255033,0.004351779048929807,0.004238067206388675,0.002756612760327066
24,0.008973092071769773,0.0041112985546695145,0.004480939752915326,0.0029546377139501633
25,0.00965400905666237,0.00407968950949538,0.004813654773731522,0.0032070433024341625
26,0.01020382302989677,0.004674218697005429,0.005087580531835556,0.003315906002375883
27,0.010639123630999725,0.004212824683914674,0.0053411276162076155,0.0036161517971785044
28,0.011114432414372762,0.004571640540397102,0.005690843868009188,0.003755482171449331
29,0.011666227367859853,0.004663929633314434,0.005720615386962891,0.004168665720498709
30,0.012396390142004474,0.0049634168189474255,0.006222351127878174,0.004247112336969977
31,0.012991519904358099,0.005345481810745448,0.006610695113483657,0.004537454801889764
32,0.013402792598195998,0.004206030095851125,0.007059057990273276,0.004608520474487582
33,0.014153904303148319,0.006299464877343725,0.007297432085253157,0.0048489330963605495
34,0.01476119763879891,0.005843481257520887,0.007083237171173096,0.005223862204405588
35,0.015318214282458907,0.0055304898049344095,0.0076312364908210336,0.005604101865348153
36,0.01592168276630849,0.004956990999168945,0.008095518554129252,0.005657063219534468
37,0.01663122164166492,0.005631948122516052,0.008541397130970718,0.005892209239553547
38,0.017753690300126846,0.006210128245098498,0.008692218890965383,0.006225264520337856
39,0.01803170532739463,0.006545591276163486,0.009194585841189148,0.006511322579250911
40,0.018857126878741026,0.005682233006614116,0.009722347594489736,0.006835315684125763
41,0.019496114328292544,0.005922843397544728,0.010022195928237018,0.007086813588816791
42,0.02041766785627959,0.006433385400817296,0.01073785552376591,0.007486444755473852
43,0.02090200219835554,0.006069773927466509,0.011184906795859609,0.007656882291919014
44,0.02173947661371018,0.006390971203404904,0.010226542398143553,0.008344554212826205
45,0.0227007590927584,0.006897338237242801,0.010867420560032193,0.00858244677990184
46,0.023266554506201492,0.006154724055297235,0.01142583031585251,0.00894965482457512
47,0.024091884340207603,0.006158776017872312,0.0117405062323218,0.009094263140203783
48,0.024951646380136066,0.006108445438923638,0.01243737382635261,0.009490883424366303
49,0.02575030194563469,0.006471182927400564,0.013140172903774349,0.009860269693003356
