param,sample_avg,sample_std,follow_avg,follow_std
1,0.0010504826481305956,0.0003297366912866173,0.0005423419560368353,0.00029740350084045284
2,0.0008745993767584954,0.0001864128219425691,0.0005596215510885044,0.00034010157410907304
3,0.0012405502124571465,0.0004281320676942057,0.0005877724119052766,0.0003337433268177931
4,0.0010273584538260422,0.0002808214656638156,0.0005780589897822971,0.0003114583440207944
5,0.0010306085655075348,0.0002197441359994636,0.0006139035287656282,0.0003571154584065617
6,0.0014390619621399514,0.00042395227222655896,0.0007315783824735475,0.0005297300515467292
7,0.0011708162780991174,0.00028538101527138276,0.0006871216136253685,0.0004126181308341659
8,0.0011452880705365483,0.000213771106976003,0.0006788650604143535,0.00038414016498346465
9,0.0015229972062912663,0.0004991897303927854,0.0006856298592477035,0.00042254924919703696
10,0.0012849138138142037,0.0002763159217031702,0.0007815150653614718,0.0005684715498136524
11,0.0013816628206292155,0.00033781618231845494,0.0007126582618850669,0.00048112844337816
12,0.0013354433079560597,0.00026179287191582573,0.0007106788953145345,0.0004560592845378796
13,0.0014243405312299728,0.0003258985431412387,0.0007689651261028062,0.0004900606086796364
14,0.0014686165275154533,0.0002847910901629459,0.0007799457717727829,0.0004982452594505412
15,0.0017813552856445313,0.0005694941327152847,0.0008094461067863133,0.0006005386005263688
16,0.0016844795284946693,0.00038749390254056706,0.0008080590952624072,0.0005946374994663615
17,0.0017528323697775434,0.00046247731877892306,0.0008114485179676729,0.0005697440642846249
18,0.0017105547461922714,0.00038724714011973896,0.0008154408431347506,0.0005507502808716302
19,0.0016279456194709329,0.00022952633459122902,0.0008059443007780896,0.0005725476731830946
