param,sample_avg,sample_std,follow_avg,follow_std
1,0.006547031154880276,0.002592420072844634,0.0013638847142367378,0.001173489035586931
2,0.006328865904620694,0.0027539581698140937,0.0013823580639848695,0.0007056930337095187
3,0.006659473444559265,0.0025318641923786807,0.0015758160621889175,0.0008058661803904728
4,0.008329743544260661,0.004448541821515344,0.0013977797642908453,0.0006407498997894817
5,0.00821605270442983,0.003918616494485166,0.0014184090263847026,0.0006280779113095533
6,0.007028586412202,0.003060404829724995,0.001368788250705652,0.0007177946058510568
7,0.0070430975821283125,0.003154476444817787,0.0012967173258463542,0.0006990780419084258
8,0.007720222909941928,0.0029823426697884667,0.0013369147540533055,0.0007496398643699448
9,0.007534889115824909,0.00324939680445485,0.0016170462896657545,0.0007597582950306196
10,0.007672277821434869,0.003511906015094505,0.0015763995657604754,0.0006927745947678921
11,0.007741168683524168,0.003588347813823981,0.0015757714194812994,0.0007954321766937665
12,0.007396800021557841,0.0031534919507262738,0.0014476516898268453,0.0006069541121541918
13,0.007376113789817297,0.003257254075877056,0.0013265528593882556,0.0006230563035655021
14,0.007425829576917401,0.002754221129579965,0.0014783726019017836,0.0006540156561711314
15,0.007405572845822289,0.0030969735224362217,0.0014390587459152712,0.0005952007663915857
16,0.007463503817808793,0.003115638573905383,0.001502450824289713,0.0006247634804690948
17,0.00754978440024636,0.003282683169550014,0.0014026788564828726,0.0006313147264753465
18,0.007653089369028143,0.0027688855690481263,0.0014804938602310685,0.0012486609804189441
19,0.007630913510762129,0.002930723356299432,0.0012305223805229323,0.0006388292531781889
