param,sample_avg,sample_std,follow_avg,follow_std
10,0.0021944360733,0.000736499251198,0.00026576590538,0.000115637586147
20,0.00256779980659,0.000469677746265,0.00024465918541,7.47307244932e-05
30,0.00376481723785,0.000626834297833,0.000297212600708,7.14948286099e-05
40,0.00503368806839,0.000760533505717,0.000365610599518,9.18237868658e-05
50,0.0063146443367,0.000779939180459,0.000423383951187,8.83032708344e-05
60,0.00890722346306,0.00185689739107,0.000473623037338,9.23909683809e-05
70,0.00908578014374,0.00119884800964,0.000544655323029,0.000124574541586
80,0.0112387945652,0.00274523180287,0.000613186120987,0.00014722334261
90,0.0128745806217,0.0031156079776,0.000725767850876,0.000227509653651
100,0.0148376424313,0.00375497829901,0.000755171060562,0.000182275455674
