param,sample_avg,sample_std,follow_avg,follow_std
1,0.00102190613309979,0.0005189908369189052,0.0004109070851252629,0.0001977738899909535
2,0.0008706686926669762,0.0007359731793781147,0.000476603812359749,0.00020505083097240625
3,0.0008146697303273834,0.00018922198714674466,0.00047303387816523165,0.00018398618248400932
4,0.000890120956468286,0.0005798655019309358,0.0004964167611640796,0.00019420768716024906
5,0.0008838708336288864,0.0007844000571530656,0.000478827953338623,0.00017219038836157683
6,0.0008824073907100793,0.00022104129911947195,0.0005536496179575786,0.0002182482363710601
7,0.0009034239012619545,0.0006213008280736087,0.0005476938518800046,0.00021328278602564637
8,0.0009244273075115718,0.0007812613878032447,0.0005137822605457968,0.00016480022528319964
9,0.0009071855834036162,0.00020987122060677247,0.0005440931944620042,0.0001756609822603412
10,0.0009373034301557039,0.0006344977956906873,0.000577955174624474,0.00021386249391933349
11,0.0009923954054994403,0.0007587612955503854,0.0005723692354608755,0.00020988263081733575
12,0.0011516453108329366,0.00041802720534804436,0.0006079959869384765,0.00025141708129029934
13,0.0010821813849617196,0.000828387940193779,0.0006503368180895609,0.0002544665857639982
14,0.0010899019130182156,0.0007112990102600178,0.0005965788561598698,0.00021465592027636532
15,0.0010484059651692708,0.00029828006903785497,0.0006361135216646416,0.0002721853098149189
16,0.001049002808622781,0.0006480462940803048,0.0006342145050464034,0.0002522671498869097
17,0.0011311606537523888,0.0007086986101089521,0.0006179865595566075,0.00022393648473441804
18,0.001010609564380111,0.00025758312079676824,0.000642608867462025,0.00025138392884700093
19,0.001118098846589676,0.0006331803855805471,0.0006222270165217345,0.0002251037044326617
20,0.0012003452005520674,0.0007838893861669496,0.0006920705854365256,0.00029059159874922304
21,0.0011161940260083264,0.0003024881076638702,0.0006030314309256417,0.0002268593242031644
22,0.0011818363116337703,0.000605584793934103,0.0006979561059822963,0.00028124129696546687
23,0.0012189748461154397,0.0008334472820879183,0.0006155383288030173,0.00021322634070640526
24,0.0011983983170184551,0.00033370638110215425,0.0006411184546768025,0.0002351537259874694
25,0.0010989877572013635,0.0007059528425968003,0.0006799442649821388,0.00027847007156222333
26,0.0013473548411404236,0.0008319429273574933,0.0006580933388033062,0.000248018238017613
27,0.0010926859514849322,0.00024286437536562408,0.0006215159844093659,0.00024805083762058627
28,0.0011849503768117805,0.0006531867045241456,0.0006470208944276322,0.000231988402076065
29,0.0011939923188692976,0.0007868401085076139,0.0006706078847249348,0.0002759343571865563
30,0.0012175774128174335,0.00031596190181179534,0.000767516270848631,0.00034366813715107694
31,0.0013540211325452588,0.0006441533386304274,0.000704248433350891,0.0002865443266205437
32,0.0012981918481019166,0.0007721955821060016,0.0006638266703428654,0.00023693833427430476
33,0.0012634366536311966,0.0003486939713114363,0.0007233399611253005,0.00030594512622900713
34,0.0012516391774018605,0.0006630344853524399,0.0006966886011142175,0.0002826182975777747
35,0.0013535881229109494,0.0007828887148483132,0.0007078822843216044,0.0002929139609703867
36,0.0013272511819921115,0.00035056242593196,0.0007205186535255979,0.0003073247484989543
37,0.0012043202644809866,0.0006564329679147135,0.0007453970434541386,0.00031081597738401827
38,0.001386722967775299,0.0008733212623976356,0.0007369218696474405,0.00035033285105835906
39,0.0013021142918820054,0.0004236287030802827,0.000798791932968169,0.0003683851172427344
40,0.0021500101795902957,0.0013724056555304066,0.0010843534441389276,0.0007762635459941916
41,0.0015974347676827,0.0007994246911924296,0.0007061848061622223,0.00029185912649282343
42,0.0013812483705546521,0.00041420318281197685,0.0007338157561268768,0.000313244483449166
43,0.0016426928220829146,0.0009469076265231786,0.0008498268799790646,0.0003898781037501458
44,0.001491775531730728,0.0008571165082461181,0.0007397749771674474,0.0003062759687333358
45,0.0013964653015136718,0.00036375712071009484,0.0008265024266426752,0.00039694405048993795
46,0.001444195393268569,0.0007625052797617686,0.0007433639990316855,0.000312658254551883
47,0.001388146228224762,0.0008833212016853369,0.0007842558401602286,0.0003746953205849225
48,0.0016826485282173094,0.0004189278821715664,0.0009265135021271443,0.00045595883184231553
49,0.0014290108400232652,0.0008048200952637139,0.0008739837959631165,0.000419155305349894
