param,sample_avg,sample_std,follow_avg,follow_std
1,0.009095514270941732,0.000308936763526021,0.0007796873811815605,0.00020898694356642582
2,0.009743619313568562,0.0002657711893989355,0.0009344767010401165,0.0004123922824554746
3,0.010539077689545383,0.0004587524560671981,0.0010498563901166981,0.0004844345607688847
4,0.01126035395296573,0.0007916338756575543,0.001158905029296875,0.0005328467983278505
5,0.011710634027473658,0.0003532982899810306,0.0013185266149762763,0.000725627155998829
6,0.01276814623396526,0.0026697967768995494,0.0015315456727964688,0.0008550390530558343
7,0.013216494215811229,0.0007709122536647726,0.0016959928509244536,0.0009793899351566871
8,0.01394197806263108,0.0007124214477217485,0.0019146936059219275,0.0010613472992945924
9,0.014874225511600834,0.0015418340462841275,0.0019548465044070514,0.0010731123222447736
