param,sample_avg,sample_std,follow_avg,follow_std
1,0.0048881416589441435,0.00116139995006538,0.0053480029590075,0.0047478879003311604
2,0.004148449010895071,0.0008703796669964576,0.0047525696623652355,0.004292579424266251
3,0.00396733171311184,0.0007194871595471035,0.0047569886369565745,0.004569186304458459
4,0.003973696100052877,0.0006707309678183244,0.004110735389443224,0.0037630858636521344
5,0.004076693654060364,0.000961316789306307,0.0044600601302844855,0.004367515868592041
6,0.004151972105364226,0.0009471861387940228,0.004245818661842987,0.003969339998116969
7,0.004132829333376492,0.0009125866474637285,0.004181865291549938,0.0039751500390835855
8,0.004128165580519479,0.0007953440878045555,0.004293569246554347,0.004015914505982249
9,0.0041814890665484855,0.0007142306473340368,0.004151514877480143,0.003908184169890538
10,0.004151555134895,0.0006725301298351281,0.004481346410738599,0.00422292286967817
11,0.004272239852924736,0.0009642559204480933,0.004049697855733476,0.0037882853039551815
12,0.004275541403480305,0.0008491954359844399,0.004021586139420956,0.003966499851454885
13,0.004309813800025079,0.00083341325645161,0.003960802832578537,0.003700581037684089
14,0.004336525192459943,0.0008327017867099423,0.0040182548049462205,0.0037846839947039555
15,0.004947089258681378,0.0012522041288051413,0.003953869132267263,0.0038079958408210974
16,0.004371331169019285,0.0007052963912744681,0.003813680326123641,0.003617074198348078
17,0.004397209485371908,0.0006807661576143269,0.003994001976319847,0.0037489249849514752
18,0.004520230483029406,0.0010190129504036387,0.004007638215446929,0.0038811247237513034
19,0.004528064208271902,0.0009641334729192272,0.004185942503122183,0.004097915357357197
