param,sample_avg,sample_std,follow_avg,follow_std
1,0.05903145313262939,0.020836041637259415,0.001650724881961022,0.002833689627677472
2,0.05666456460952759,0.01824357909310287,0.0014250686294154118,0.002268795995140925
3,0.05790827989578247,0.015048011274338838,0.002159259937427662,0.002898863817510838
4,0.06047290563583374,0.016442298894047695,0.002673583152966622,0.004032679513285006
5,0.0668584418296814,0.0191157401494097,0.0019551765771559726,0.002956901129954949
6,0.07050415515899658,0.020869910983576354,0.0020035248768480516,0.0030025231452337577
7,0.07326229095458985,0.021289458595653007,0.002018293702458761,0.0029171934836934297
8,0.07143324375152588,0.018997608090458754,0.0020146279395381107,0.003846086634904183
9,0.0813015079498291,0.026140061603740536,0.0019463116014507456,0.004463608894099313
10,0.0865289831161499,0.028719417979445223,0.0019203146843061055,0.0033474386825894107
11,0.09291407108306884,0.02920450881076781,0.00192471444606781,0.0031813632949678015
12,0.09256823778152466,0.025572354142686007,0.003494467424309772,0.007297571557999058
13,0.1008065414428711,0.0311295737291012,0.0018824877804272796,0.002837304270449286
14,0.09624855756759644,0.028651654348934383,0.002665564593146829,0.004108548460423982
15,0.0956032133102417,0.024499610733912682,0.0030270814895629883,0.006208245409662879
16,0.10123594999313354,0.029971296236087287,0.0017450113554258605,0.003336523281175164
17,0.10251749277114869,0.02449631921163214,0.0024287645206894984,0.0037652455255531426
18,0.10838197946548461,0.02727499636085454,0.00256154301402333,0.005881710386942561
19,0.12147467374801636,0.034570739974588094,0.0027961038774059663,0.0068266895354243086
