param,sample_avg,sample_std,follow_avg,follow_std
2,0.03408370018005371,0.013935969261879235,0.028466365337371825,0.026638395404874882
3,0.0377227682055849,0.04579499421147654,0.03390031872373639,0.04442531623330795
4,0.03828500986099243,0.053232287906588203,0.027758069038391113,0.03273732252203936
5,0.041606273651123044,0.05325365101886795,0.03117016383579799,0.03303439257246401
6,0.03854074381818675,0.021771194430472506,0.034423219914339026,0.0423220741471748
7,0.05006938457489014,0.06351271766800885,0.03970156192779541,0.04360259361529161
8,0.04991899728775025,0.06389825087366031,0.03931692152312308,0.060262078146953765
9,0.05276265859603882,0.06828090864650085,0.04103852033615112,0.06100248235199581
10,0.06061665296554566,0.07970553625841928,0.04075023651123047,0.053918090607371495
11,0.055009136199951174,0.07348477743828095,0.048094277430062345,0.061105464474708826
12,0.05659911608455157,0.08198303952334693,0.039431353205258084,0.053943090919344044
13,0.060149550437927246,0.0770488128139781,0.0416716142576568,0.048746643716065546
14,0.06350026845932007,0.08525876661424366,0.048553118705749514,0.07783599326487174
15,0.06859697818756104,0.08948889804602672,0.04854514837265014,0.06413359420046029
16,0.07609221696853638,0.10281309402718038,0.05028958559036255,0.06269843981959794
17,0.06957190513610839,0.09084302299759178,0.045183009030867596,0.05259278330187192
18,0.07995633840560913,0.09251568634596949,0.050430926409634674,0.05632094198399379
19,0.08130930662155152,0.11219052379461451,0.051983931629928114,0.060679925790774844
