param,sample_avg,sample_std,follow_avg,follow_std
1,0.000229,0.000109,1.1e-05,1.9e-05
2,0.000229,0.0001,1e-05,1.7e-05
3,0.000201,8.7e-05,9e-06,2e-06
4,0.000192,0.00011,1e-05,1.9e-05
5,0.000189,7.5e-05,1e-05,1.8e-05
6,0.000184,8.1e-05,9e-06,1.7e-05
7,0.000182,7.2e-05,9e-06,1.8e-05
8,0.000191,8e-05,9e-06,1.7e-05
9,0.000183,7.5e-05,1e-05,1.7e-05
10,0.000194,7.1e-05,1e-05,1.8e-05
